sample_size,subsystem,capacity_kw,mean_load_kw,p95_load_kw,p99_load_kw,p99_load_to_capacity_ratio,overload_count,overload_probability,overload_probability_pct,overload_probability_ci95_lower_pct,overload_probability_ci95_upper_pct,rule_of_three_upper_if_zero,previous_overload_probability_pct,previous_p99_load_to_capacity_ratio,change_from_previous_probability_pct_points,change_from_previous_p99_ratio
846,FW,4871.78,4642.1514,4908.7183837890625,4992.080151367188,1.0246932643442823,78,0.09219858156028368,9.219858156028367,7.2703348197902145,11.169381492266522,,9.31174089068826,1.024700846475775,-0.09188273465989205,-7.5821314926560746e-06
967,FW,4871.78,4640.0884,4908.762060546875,4990.767294921875,1.024423782461826,91,0.09410548086866598,9.410548086866598,7.570246038670107,11.250850135063088,,9.219858156028367,1.0246932643442823,0.19068993083823038,-0.00026948188245623506
1000,FW,4871.78,4642.375,4910.100634765625,4992.4919140625,1.0247777843134338,95,0.095,9.5,7.682634984379858,11.317365015620142,,9.410548086866598,1.024423782461826,0.08945191313340217,0.00035400185160772146
1105,FW,4871.78,4638.448,4907.19833984375,4991.61888671875,1.024598583416893,98,0.08868778280542987,8.868778280542987,7.1925219637781534,10.54503459730782,,9.5,1.0247777843134338,-0.6312217194570131,-0.00017920089654088756
1263,FW,4871.78,4638.8716,4906.68642578125,4990.822236328125,1.024435059942798,107,0.08471892319873317,8.471892319873318,6.936137625861632,10.007647013885002,,8.868778280542987,1.024598583416893,-0.3968859606696693,-0.00016352347409487322
1444,FW,4871.78,4637.358,4907.227734375,4992.094926757813,1.0246962971968794,124,0.08587257617728532,8.587257617728532,7.142140352550462,10.032374882906602,,8.471892319873318,1.024435059942798,0.11536529785521488,0.0002612372540813368
1650,FW,4871.78,4637.918,4908.265405273438,4992.050600585938,1.0246871986390884,143,0.08666666666666667,8.666666666666668,7.309119899299434,10.0242134340339,,8.587257617728532,1.0246962971968794,0.07940904893813538,-9.098557790965245e-06
1885,FW,4871.78,4634.2383,4904.45673828125,4986.7889453125,1.0236071713649837,158,0.08381962864721486,8.381962864721485,7.1309443078635955,9.632981421579375,,8.666666666666668,1.0246871986390884,-0.28470380194518263,-0.0010800272741047223
2154,FW,4871.78,4635.907,4905.2186279296875,4992.021049804687,1.0246811329338943,184,0.08542246982358404,8.542246982358403,7.361846040115674,9.722647924601132,,8.381962864721485,1.0236071713649837,0.16028411763691786,0.0010739615689105975
2462,FW,4871.78,4635.9707,4904.623217773437,4991.961948242188,1.0246690015235065,212,0.08610885458976442,8.610885458976442,7.502774658174466,9.718996259778418,,8.542246982358403,1.0246811329338943,0.06863847661803923,-1.213141038780563e-05
2814,FW,4871.78,4635.0327,4907.078833007812,4992.54853515625,1.0247894065734189,242,0.08599857853589196,8.599857853589196,7.563969150644649,9.635746556533743,,8.610885458976442,1.0246690015235065,-0.011027605387246453,0.00012040504991239764
3215,FW,4871.78,4636.1636,4908.346630859375,4992.54697265625,1.0247890858487554,277,0.08615863141524106,8.615863141524107,7.645910822478995,9.585815460569219,,8.599857853589196,1.0247894065734189,0.016005287934911294,-3.2072466349397644e-07
3675,FW,4871.78,4637.378,4910.9970703125,4995.777617187499,1.0254522201715799,317,0.08625850340136054,8.625850340136054,7.718155151870909,9.533545528401199,,8.615863141524107,1.0247890858487554,0.009987198611947079,0.000663134322824499
4199,FW,4871.78,4637.335,4913.864599609375,4998.155029296874,1.0259402167784413,369,0.08787806620623959,8.78780662062396,7.931459524317261,9.644153716930656,,8.625850340136054,1.0254522201715799,0.1619562804879049,0.000487996606861385
