source,scenario,distribution_model,subsystem,overload_case_a_pct,overload_case_b_pct,overload_case_c_pct,p99_ratio_case_a,p99_ratio_case_b,p99_ratio_case_c,overload_probability_monotonic,p99_ratio_monotonic,dependency_model,rho,passed
Dependency Monte Carlo,Scenario Bravo,Triangular,HVAC,0.0,0.0,0.0,0.8468464421638203,0.8832188312918802,0.908715248619856,True,True,Subsystem-block Gaussian copula,0.25,True
Dependency Monte Carlo,Scenario Bravo,Triangular,CW,0.0,0.0,0.03,0.919963768043188,0.9527405983962648,0.9743672458137872,True,True,Subsystem-block Gaussian copula,0.5,True
Dependency Monte Carlo,Scenario Bravo,Triangular,FW,0.0,0.0,0.234,0.9565994123687236,0.965965182169066,0.993035921992756,True,True,Subsystem-block Gaussian copula,0.5,True
Dependency Monte Carlo,Scenario Bravo,Triangular,HVAC,0.0,0.0,0.0,0.8549036092899058,0.9042513141222088,0.938182246041566,True,True,Subsystem-block Gaussian copula,0.5,True
Dependency Monte Carlo,Scenario Bravo,Triangular,CW,0.0,0.0,0.287,0.923365026684011,0.962730841080018,0.9881126544497044,True,True,Subsystem-block Gaussian copula,0.75,True
Dependency Monte Carlo,Scenario Bravo,Triangular,FW,0.0,0.0,0.7929999999999999,0.957571300288276,0.9688198301694272,0.998558780404162,True,True,Subsystem-block Gaussian copula,0.75,True
Dependency Monte Carlo,Scenario Bravo,Triangular,HVAC,0.0,0.0,0.0,0.8606057475714726,0.9190235842982644,0.959021313112152,True,True,Subsystem-block Gaussian copula,0.75,True
Dependency Monte Carlo,Scenario Bravo,Truncated normal,CW,0.0,0.0,0.075,0.9211122978775732,0.9546760059918056,0.9772490791991914,True,True,Global Gaussian copula,0.25,True
Dependency Monte Carlo,Scenario Bravo,Truncated normal,FW,0.0,0.0,1.288,0.956927597428774,0.9665182125205186,1.0019086944747169,True,True,Global Gaussian copula,0.25,True
Dependency Monte Carlo,Scenario Bravo,Truncated normal,HVAC,0.0,0.0,0.0,0.84883587321712,0.8886509592670075,0.9154003934586912,True,True,Global Gaussian copula,0.25,True
Dependency Monte Carlo,Scenario Bravo,Truncated normal,CW,0.0,0.0,1.342,0.927644984894354,0.9732762676629064,1.0039325794696283,True,True,Global Gaussian copula,0.5,True
Dependency Monte Carlo,Scenario Bravo,Truncated normal,FW,0.0,0.0,5.116,0.9587942709941484,0.971833118420848,1.016171756929388,True,True,Global Gaussian copula,0.5,True
Dependency Monte Carlo,Scenario Bravo,Truncated normal,HVAC,0.0,0.0,0.0,0.8576353252448748,0.911048540891304,0.9476102044813608,True,True,Global Gaussian copula,0.5,True
Dependency Monte Carlo,Scenario Bravo,Truncated normal,CW,0.0,0.036,4.077,0.9321031305145208,0.986251477765142,1.0229121883121466,True,True,Global Gaussian copula,0.75,True
Dependency Monte Carlo,Scenario Bravo,Truncated normal,FW,0.0,0.0,9.225,0.960068157613602,0.975540701784448,1.0269794118144255,True,True,Global Gaussian copula,0.75,True
Dependency Monte Carlo,Scenario Bravo,Truncated normal,HVAC,0.0,0.0,0.0,0.863508640786689,0.9268528546041276,0.9704998039167196,True,True,Global Gaussian copula,0.75,True
Dependency Monte Carlo,Scenario Bravo,Truncated normal,CW,0.0,0.0,0.001,0.9168001478599704,0.9432224117471752,0.9602667825475376,True,True,Subsystem-block Gaussian copula,0.25,True
Dependency Monte Carlo,Scenario Bravo,Truncated normal,FW,0.0,0.0,0.059,0.9556954281197116,0.9632454211637528,0.9886269330069122,True,True,Subsystem-block Gaussian copula,0.25,True
Dependency Monte Carlo,Scenario Bravo,Truncated normal,HVAC,0.0,0.0,0.0,0.8487313879535088,0.8880061354497816,0.9156911831760308,True,True,Subsystem-block Gaussian copula,0.25,True
Dependency Monte Carlo,Scenario Bravo,Truncated normal,CW,0.0,0.0,0.088,0.9215923957372044,0.956546362897132,0.9794812814287386,True,True,Subsystem-block Gaussian copula,0.5,True
Dependency Monte Carlo,Scenario Bravo,Truncated normal,FW,0.0,0.0,0.545,0.957064782323912,0.9670526550529742,0.9963150714279768,True,True,Subsystem-block Gaussian copula,0.5,True
Dependency Monte Carlo,Scenario Bravo,Truncated normal,HVAC,0.0,0.0,0.0,0.8571483860644413,0.9105172512009966,0.9482963806087592,True,True,Subsystem-block Gaussian copula,0.5,True
Dependency Monte Carlo,Scenario Bravo,Truncated normal,CW,0.0,0.0,0.6709999999999999,0.9252117583481906,0.9667085929739038,0.9956010405917888,True,True,Subsystem-block Gaussian copula,0.75,True
Dependency Monte Carlo,Scenario Bravo,Truncated normal,FW,0.0,0.0,1.534,0.9580989920590604,0.9699564473517382,1.0029597080706985,True,True,Subsystem-block Gaussian copula,0.75,True
Dependency Monte Carlo,Scenario Bravo,Truncated normal,HVAC,0.0,0.0,0.0,0.8633482580889998,0.926799602314644,0.9714281532892712,True,True,Subsystem-block Gaussian copula,0.75,True
