scenario,margin_case,distribution_model,dependency_model,rho,subsystem,p99_load_to_capacity_ratio,p99_spare_capacity_kw,overload_probability_pct
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Triangular,Subsystem-block Gaussian copula,0.5,CW,0.9743672458137872,35.68284444754295,0.03
Scenario Bravo,Case B - CMM + CUM,Triangular,Global Gaussian copula,0.75,FW,0.973759972001948,127.83564360035052,0.0
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Triangular,Subsystem-block Gaussian copula,0.75,HVAC,0.9735988895761526,30.609975447617217,0.0
Scenario Bravo,Case B - CMM + CUM,Truncated normal,Global Gaussian copula,0.5,CW,0.9732762676629064,37.20157331182122,0.0
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Triangular,Global Gaussian copula,0.75,HVAC,0.9728774012770954,31.44648341131005,0.0
Scenario Alpha,Case B - CMM + CUM,Truncated normal,Subsystem-block Gaussian copula,0.5,CW,0.9722688683634036,112.8119073655721,0.0
Scenario Bravo,Case B - CMM + CUM,Truncated normal,Global Gaussian copula,0.5,FW,0.971833118420848,137.22285033968183,0.0
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Triangular,Global Gaussian copula,0.25,CW,0.9716602597970536,39.45118554171768,0.029
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Triangular,Subsystem-block Gaussian copula,0.25,CW,0.9716503673784246,115.32800648252623,0.001
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Truncated normal,Subsystem-block Gaussian copula,0.75,HVAC,0.9714281532892712,10.65529879383206,0.0
Scenario Alpha,Case B - CMM + CUM,Truncated normal,Global Gaussian copula,0.25,CW,0.9708039962255192,118.77109511481422,0.0
Scenario Alpha,Case B - CMM + CUM,Truncated normal,Global Gaussian copula,0.75,FW,0.9707693096512164,343.01221280825666,0.0
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Truncated normal,Global Gaussian copula,0.75,HVAC,0.9704998039167196,11.00150812533775,0.0
Scenario Bravo,Case B - CMM + CUM,Triangular,Global Gaussian copula,0.5,FW,0.9704119194077396,144.1466192677617,0.0
Scenario Bravo,Case B - CMM + CUM,Truncated normal,Subsystem-block Gaussian copula,0.75,FW,0.9699564473517382,146.3655789207487,0.0
Scenario Alpha,Case B - CMM + CUM,Triangular,Global Gaussian copula,0.75,FW,0.9693461209356808,359.71284850090524,0.0
