record_id,source_row,pbs_code,teamcenter_id,bom_id,item_description,system,scenario,margin_case,nominal_load_kw,uncertainty_pct,triangular_lower_kw,triangular_mode_kw,triangular_upper_kw,truncnorm_lower_kw,truncnorm_mean_kw,truncnorm_upper_kw,truncnorm_sigma_kw,is_degenerate
7,6,PBS_GROUP_0001,,BOM_000007,ITEM_000007,CW,Scenario Bravo,Case A - CUM,1.8017594,0.15,1.53149549,1.8017594,2.0720233099999996,1.53149549,1.8017594,2.0720233099999996,0.13788975,False
7,6,PBS_GROUP_0001,,BOM_000007,ITEM_000007,CW,Scenario Bravo,Case B - CMM + CUM,1.8017594,0.25,1.35131955,1.8017594,2.25219925,1.35131955,1.8017594,2.25219925,0.22981625,False
7,6,PBS_GROUP_0001,,BOM_000007,ITEM_000007,CW,Scenario Bravo,Case C - CMM + CUM + DBM + IGM,1.8017594,0.35,1.17114361,1.8017594,2.43237519,1.17114361,1.8017594,2.43237519,0.32174274999999997,False
8,7,PBS_GROUP_0001,,BOM_000008,ITEM_000008,CW,Scenario Alpha,Case A - CUM,3.438,0.15,2.9223,3.438,3.9537,2.9223,3.438,3.9537,0.2631122448979592,False
8,7,PBS_GROUP_0001,,BOM_000008,ITEM_000008,CW,Scenario Alpha,Case B - CMM + CUM,3.438,0.25,2.5785,3.438,4.2975,2.5785,3.438,4.2975,0.4385204081632653,False
8,7,PBS_GROUP_0001,,BOM_000008,ITEM_000008,CW,Scenario Alpha,Case C - CMM + CUM + DBM + IGM,3.438,0.35,2.2347,3.438,4.6413,2.2347,3.438,4.6413,0.6139285714285715,False
8,7,PBS_GROUP_0001,,BOM_000008,ITEM_000008,CW,Scenario Bravo,Case A - CUM,0.0873252,0.15,0.07422642,0.0873252,0.10042398,0.07422642,0.0873252,0.10042398,0.006683051020408164,False
8,7,PBS_GROUP_0001,,BOM_000008,ITEM_000008,CW,Scenario Bravo,Case B - CMM + CUM,0.0873252,0.25,0.06549390000000001,0.0873252,0.1091565,0.06549390000000001,0.0873252,0.1091565,0.01113841836734694,False
8,7,PBS_GROUP_0001,,BOM_000008,ITEM_000008,CW,Scenario Bravo,Case C - CMM + CUM + DBM + IGM,0.0873252,0.35,0.05676138000000001,0.0873252,0.11788902000000001,0.05676138000000001,0.0873252,0.11788902000000001,0.015593785714285715,False
9,8,PBS_GROUP_0001,,BOM_000009,ITEM_000009,CW,Scenario Alpha,Case A - CUM,3.6188004,0.15,3.07598034,3.6188004,4.16162046,3.07598034,3.6188004,4.16162046,0.2769490102040816,False
9,8,PBS_GROUP_0001,,BOM_000009,ITEM_000009,CW,Scenario Alpha,Case B - CMM + CUM,3.6188004,0.25,2.7141003,3.6188004,4.5235005,2.7141003,3.6188004,4.5235005,0.4615816836734694,False
9,8,PBS_GROUP_0001,,BOM_000009,ITEM_000009,CW,Scenario Alpha,Case C - CMM + CUM + DBM + IGM,3.6188004,0.35,2.35222026,3.6188004,4.885380540000001,2.35222026,3.6188004,4.885380540000001,0.6462143571428571,False
9,8,PBS_GROUP_0001,,BOM_000009,ITEM_000009,CW,Scenario Bravo,Case A - CUM,3.6475272,0.15,3.10039812,3.6475272,4.194656279999999,3.10039812,3.6475272,4.194656279999999,0.27914748979591836,False
9,8,PBS_GROUP_0001,,BOM_000009,ITEM_000009,CW,Scenario Bravo,Case B - CMM + CUM,3.6475272,0.25,2.7356454,3.6475272,4.559409,2.7356454,3.6475272,4.559409,0.4652458163265306,False
9,8,PBS_GROUP_0001,,BOM_000009,ITEM_000009,CW,Scenario Bravo,Case C - CMM + CUM + DBM + IGM,3.6475272,0.35,2.37089268,3.6475272,4.92416172,2.37089268,3.6475272,4.92416172,0.6513441428571427,False
10,9,PBS_GROUP_0001,,BOM_000010,ITEM_000010,CW,Scenario Alpha,Case A - CUM,3.718,0.15,3.1603,3.718,4.2757,3.1603,3.718,4.2757,0.2845408163265306,False
