scenario,margin_case,distribution_model,subsystem,sampled_load_kw
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.4201087117872
Scenario Alpha,Case A - CUM,Triangular,HVAC,1025.0516971977152
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.5190102656816
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.461603257354
Scenario Alpha,Case A - CUM,Triangular,HVAC,1025.5628679547667
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.92308226013
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.0948141604665
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.2585616336537
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.7645257480585
Scenario Alpha,Case A - CUM,Triangular,HVAC,1025.252058265682
Scenario Alpha,Case A - CUM,Triangular,HVAC,1025.3528396694155
Scenario Alpha,Case A - CUM,Triangular,HVAC,1028.1836156434927
Scenario Alpha,Case A - CUM,Triangular,HVAC,1025.684387793743
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.761963583471
Scenario Alpha,Case A - CUM,Triangular,HVAC,1024.7703970101
Scenario Alpha,Case A - CUM,Triangular,HVAC,1028.2652551020888
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.4653180997732
Scenario Alpha,Case A - CUM,Triangular,HVAC,1024.9564146210512
Scenario Alpha,Case A - CUM,Triangular,HVAC,1028.5191562066614
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.6269748790694
Scenario Alpha,Case A - CUM,Triangular,HVAC,1028.4686053777243
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.4445185295167
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.8865159841341
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.4686692788514
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.8364045865208
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.063225602908
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.1242454766768
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.8566310327067
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.4401189046448
Scenario Alpha,Case A - CUM,Triangular,HVAC,1024.920000683519
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.6332803202174
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.5419946093807
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.6966652683313
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.8468705180687
Scenario Alpha,Case A - CUM,Triangular,HVAC,1023.7686197425737
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.600258903363
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.255205161717
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.484058730627
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.5043733229245
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.4675924981027
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.438828540984
Scenario Alpha,Case A - CUM,Triangular,HVAC,1024.0368371252391
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.0176612873925
Scenario Alpha,Case A - CUM,Triangular,HVAC,1024.7199998082942
Scenario Alpha,Case A - CUM,Triangular,HVAC,1028.5311600200846
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.8411105007467
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.4300457681334
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.4116434307396
Scenario Alpha,Case A - CUM,Triangular,HVAC,1028.1282746165477
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.1499646436303
Scenario Alpha,Case A - CUM,Triangular,HVAC,1024.4290790208622
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.973197095881
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.1102906843944
Scenario Alpha,Case A - CUM,Triangular,HVAC,1028.7945634175294
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.2156016133945
Scenario Alpha,Case A - CUM,Triangular,HVAC,1024.8320542411675
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.3530328156128
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.0884522321453
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.9350846579114
Scenario Alpha,Case A - CUM,Triangular,HVAC,1025.9627755435927
Scenario Alpha,Case A - CUM,Triangular,HVAC,1028.7778271230652
Scenario Alpha,Case A - CUM,Triangular,HVAC,1023.4383777876742
Scenario Alpha,Case A - CUM,Triangular,HVAC,1024.5557406795865
Scenario Alpha,Case A - CUM,Triangular,HVAC,1028.775691740577
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.6066439659098
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.3870685189784
Scenario Alpha,Case A - CUM,Triangular,HVAC,1024.8897440262838
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.2918404624875
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.838251900324
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.0228180400525
Scenario Alpha,Case A - CUM,Triangular,HVAC,1025.6588164552395
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.283265691159
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.6147888103808
Scenario Alpha,Case A - CUM,Triangular,HVAC,1023.886297456776
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.5719662928807
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.116526230624
Scenario Alpha,Case A - CUM,Triangular,HVAC,1025.4354754795697
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.415239240147
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.1186505777687
Scenario Alpha,Case A - CUM,Triangular,HVAC,1028.047456395523
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.0659441956227
Scenario Alpha,Case A - CUM,Triangular,HVAC,1025.0825059782765
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.4829584469776
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.5282891982067
Scenario Alpha,Case A - CUM,Triangular,HVAC,1025.311286592514
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.1086510645043
Scenario Alpha,Case A - CUM,Triangular,HVAC,1025.6124978612163
Scenario Alpha,Case A - CUM,Triangular,HVAC,1029.5359494447393
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.8798690683957
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.9133634062264
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.797443660516
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.5648257828077
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.9564863043286
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.3318668068803
Scenario Alpha,Case A - CUM,Triangular,HVAC,1028.5972438311348
Scenario Alpha,Case A - CUM,Triangular,HVAC,1025.737661735373
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.2322274171054
Scenario Alpha,Case A - CUM,Triangular,HVAC,1028.3591909250981
Scenario Alpha,Case A - CUM,Triangular,HVAC,1025.3893726174124
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.8594420657228
Scenario Alpha,Case A - CUM,Triangular,HVAC,1028.2321929649152
Scenario Alpha,Case A - CUM,Triangular,HVAC,1025.762993432455
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.981744895068
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.4945240826405
Scenario Alpha,Case A - CUM,Triangular,HVAC,1024.9058685029363
Scenario Alpha,Case A - CUM,Triangular,HVAC,1028.9844311409274
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.464223255441
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.0544089438592
Scenario Alpha,Case A - CUM,Triangular,HVAC,1029.4842591138104
Scenario Alpha,Case A - CUM,Triangular,HVAC,1025.68514957727
Scenario Alpha,Case A - CUM,Triangular,HVAC,1028.7515093722188
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.6353006441918
Scenario Alpha,Case A - CUM,Triangular,HVAC,1028.6115209740954
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.972911485921
Scenario Alpha,Case A - CUM,Triangular,HVAC,1025.0808804087674
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.7251883439476
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.1748323133845
Scenario Alpha,Case A - CUM,Triangular,HVAC,1028.2761927471443
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.4100960024393
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.601945144622
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.3899089105128
Scenario Alpha,Case A - CUM,Triangular,HVAC,1028.913878126828
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.7708927768904
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.4750288429914
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.365347748369
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.089482806966
Scenario Alpha,Case A - CUM,Triangular,HVAC,1023.9431131178447
Scenario Alpha,Case A - CUM,Triangular,HVAC,1029.3723457811375
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.1451228461533
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.869500950358
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.8651683436772
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.330172240508
Scenario Alpha,Case A - CUM,Triangular,HVAC,1024.9162333658767
Scenario Alpha,Case A - CUM,Triangular,HVAC,1025.8070507749258
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.531342352708
Scenario Alpha,Case A - CUM,Triangular,HVAC,1025.2382961697533
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.211005761082
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.9393729091712
Scenario Alpha,Case A - CUM,Triangular,HVAC,1025.7878484735063
Scenario Alpha,Case A - CUM,Triangular,HVAC,1024.3776340180664
Scenario Alpha,Case A - CUM,Triangular,HVAC,1025.6361883039378
Scenario Alpha,Case A - CUM,Triangular,HVAC,1028.8300265427897
Scenario Alpha,Case A - CUM,Triangular,HVAC,1028.4491196055128
Scenario Alpha,Case A - CUM,Triangular,HVAC,1025.977425033773
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.8191649082762
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.8889231469327
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.180739921521
Scenario Alpha,Case A - CUM,Triangular,HVAC,1025.8016591783337
Scenario Alpha,Case A - CUM,Triangular,HVAC,1028.441528134668
Scenario Alpha,Case A - CUM,Triangular,HVAC,1025.886886525436
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.6997025899316
Scenario Alpha,Case A - CUM,Triangular,HVAC,1025.020775931915
Scenario Alpha,Case A - CUM,Triangular,HVAC,1025.6750208718404
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.9991363574813
Scenario Alpha,Case A - CUM,Triangular,HVAC,1025.4359735118962
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.8622630881632
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.7963414796823
Scenario Alpha,Case A - CUM,Triangular,HVAC,1024.827484076123
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.1218422613742
Scenario Alpha,Case A - CUM,Triangular,HVAC,1025.7295151466274
Scenario Alpha,Case A - CUM,Triangular,HVAC,1028.0341757206304
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.7156780355056
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.443193479735
Scenario Alpha,Case A - CUM,Triangular,HVAC,1024.8180130797857
Scenario Alpha,Case A - CUM,Triangular,HVAC,1025.7921653642675
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.924536120894
Scenario Alpha,Case A - CUM,Triangular,HVAC,1025.6457760606975
Scenario Alpha,Case A - CUM,Triangular,HVAC,1028.2269681872797
Scenario Alpha,Case A - CUM,Triangular,HVAC,1025.596470348528
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.106740036469
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.2608683538886
Scenario Alpha,Case A - CUM,Triangular,HVAC,1028.0938380322202
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.4317113262616
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.4853027980098
Scenario Alpha,Case A - CUM,Triangular,HVAC,1025.1230629510999
Scenario Alpha,Case A - CUM,Triangular,HVAC,1023.7817281036822
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.083507107099
Scenario Alpha,Case A - CUM,Triangular,HVAC,1024.7230110537946
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.5001013866668
Scenario Alpha,Case A - CUM,Triangular,HVAC,1025.6672871072735
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.095186834768
Scenario Alpha,Case A - CUM,Triangular,HVAC,1025.23160510902
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.428880027689
Scenario Alpha,Case A - CUM,Triangular,HVAC,1028.2511202519222
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.859669086196
Scenario Alpha,Case A - CUM,Triangular,HVAC,1025.66747276499
Scenario Alpha,Case A - CUM,Triangular,HVAC,1023.8918695147855
Scenario Alpha,Case A - CUM,Triangular,HVAC,1025.4252943358083
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.9426653492503
Scenario Alpha,Case A - CUM,Triangular,HVAC,1028.4261189168235
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.9988017040232
Scenario Alpha,Case A - CUM,Triangular,HVAC,1024.988685621614
Scenario Alpha,Case A - CUM,Triangular,HVAC,1024.951947292306
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.2275857711686
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.7375584626411
Scenario Alpha,Case A - CUM,Triangular,HVAC,1028.052923535145
Scenario Alpha,Case A - CUM,Triangular,HVAC,1024.7807668414532
Scenario Alpha,Case A - CUM,Triangular,HVAC,1025.7334500774782
Scenario Alpha,Case A - CUM,Triangular,HVAC,1029.8297424520447
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.4154826338777
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.4519243437442
Scenario Alpha,Case A - CUM,Triangular,HVAC,1025.970770954715
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.4454902444395
Scenario Alpha,Case A - CUM,Triangular,HVAC,1026.1939764531521
Scenario Alpha,Case A - CUM,Triangular,HVAC,1027.5780769675996
Scenario Alpha,Case A - CUM,Triangular,HVAC,1024.991007136712
