scenario,margin_case,distribution_model,subsystem,simulations,deterministic_load_kw,capacity_kw,mean_load_kw,std_load_kw,p01_load_kw,p05_load_kw,p50_load_kw,p95_load_kw,p99_load_kw,min_load_kw,max_load_kw,mean_spare_capacity_kw,p95_spare_capacity_kw,p99_spare_capacity_kw,overload_count,overload_probability,overload_probability_pct,overload_probability_ci95_lower,overload_probability_ci95_upper,rule_of_three_upper_if_zero,mean_load_to_capacity_ratio,p95_load_to_capacity_ratio,p99_load_to_capacity_ratio,max_load_to_capacity_ratio,p95_capacity_margin_pct,p99_capacity_margin_pct
Scenario Alpha,Case B - CMM + CUM,Truncated normal,CW,100000,3814.61147772621,4068.06,3814.576550634331,14.28245573477354,3781.594257625601,3791.162829038232,3814.609876567461,3838.008053882048,3847.808184212983,3756.058497008164,3874.6019379243207,253.483449365669,230.0519461179524,220.2518157870172,0,0.0,0.0,0,0.0,3e-05,0.9376893533119794,0.9434492249086907,0.9458582676295294,0.9524446389493569,5.6550775091309475,5.414173237047074
Scenario Alpha,Case B - CMM + CUM,Truncated normal,FW,100000,11172.36557800847,11734.66,11172.330650916589,14.28245573477354,11139.34835790786,11148.91692932049,11172.36397684972,11195.762154164306,11205.56228449524,11113.812597290424,11232.35603820658,562.3293490834112,538.8978458356942,529.0977155047585,0,0.0,0.0,0,0.0,3e-05,0.9520796214731905,0.9540763988189096,0.9549115427711787,0.9571948431574994,4.592360118109039,4.508845722882116
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Triangular,HVAC,100000,1026.73344657341,1159.42,1026.690856229894,7.116863616720988,1010.3696839634024,1014.9297957502208,1026.6947399572282,1038.4137552720806,1042.9795589950688,997.2084962028356,1053.462461380227,132.72914377010602,121.00624472791948,116.44044100493124,0,0.0,0.0,0,0.0,3e-05,0.8855210848785547,0.8956320878301914,0.8995700945257704,0.9086116000933459,10.43679121698086,10.042990547422956
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Triangular,CW,100000,3814.61147772621,4068.06,3814.643635267336,20.567174569095943,3767.619020042765,3780.7456702651016,3814.617496648093,3848.525772810438,3862.069627735561,3722.122320788181,3899.334979848713,253.41636473266408,219.534227189562,205.99037226443892,0,0.0,0.0,0,0.0,3e-05,0.937705843883162,0.9460346634047773,0.9493639788340292,0.9585244514212458,5.396533659522278,5.063602116597074
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Triangular,FW,100000,11172.36557800847,11734.66,11172.446796176737,122.05743081473926,10898.437055873246,10971.375676571846,11172.182907625904,11374.327825799097,11447.67949225722,10758.720071827269,11585.941177780664,562.213203823263,360.3321742009048,286.9805077427809,0,0.0,0.0,0,0.0,3e-05,0.9520895190978467,0.9692933434627928,0.9755441991721295,0.9873265333448659,3.070665653720728,2.4455800827870675
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Truncated normal,HVAC,100000,1026.73344657341,1159.42,1026.7016124668166,7.767800262242178,1008.8778859155716,1013.8731116406212,1026.7061720903575,1039.483003627406,1044.4563715071122,995.0437010578712,1061.3964325874758,132.71838753318343,119.9369963725942,114.96362849288788,0,0.0,0.0,0,0.0,3e-05,0.8855303621352199,0.8965543147672164,0.9008438456358456,0.9154546519703608,10.34456852327838,9.915615436415438
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Truncated normal,CW,100000,3814.61147772621,4068.06,3814.605754837683,22.51473048751077,3762.753590308797,3777.4536458587313,3814.69069221392,3851.6947243466666,3866.4198733568505,3718.606443693283,3908.3842480994144,253.4542451623165,216.36527565333336,201.64012664314944,0,0.0,0.0,0,0.0,3e-05,0.9376965322138029,0.9468136468849198,0.950433344974472,0.9607489191652567,5.318635311508025,4.9566655025528
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Truncated normal,FW,100000,11172.36557800847,11734.66,11172.219796782743,133.14955193860806,10874.316253212311,10952.351008814763,11171.81748492394,11392.385372051793,11471.478773702063,10734.675665066892,11646.582401375375,562.4402032172566,342.2746279482071,263.1812262979365,0,0.0,0.0,0,0.0,3e-05,0.9520701747458166,0.9708321648903158,0.9775723177068669,0.9924942351440413,2.916783510968423,2.2427682293133038
Scenario Bravo,Case A - CUM,Triangular,HVAC,100000,307.292471684,372.93,307.296578422895,1.2690439033955747,304.47880409790594,305.19558845700755,307.294164595828,309.3809677360682,310.11740662151846,303.0329568431523,311.5739902472967,65.63342157710503,63.54903226393179,62.81259337848155,0,0.0,0.0,0,0.0,3e-05,0.8240060558895637,0.8295952799079404,0.8315700174872455,0.8354758004110603,17.040472009205963,16.842998251275453
Scenario Bravo,Case A - CUM,Triangular,CW,100000,1256.6386696681602,1392.08,1256.645805997204,3.3134561698963947,1248.9893570648146,1251.196214674432,1256.6408480456216,1262.1253250338982,1264.320126075082,1242.2316370795334,1270.3920915123194,135.43419400279595,129.95467496610172,127.75987392491788,0,0.0,0.0,0,0.0,3e-05,0.9027109117272025,0.9066471215978236,0.9082237558725663,0.9125855493307278,9.33528784021764,9.17762441274337
