scenario,margin_case,distribution_model,dependency_model,rho,subsystem,simulations,deterministic_load_kw,capacity_kw,mean_load_kw,std_load_kw,p95_load_kw,p99_load_kw,max_load_kw,p95_spare_capacity_kw,p99_spare_capacity_kw,p95_load_to_capacity_ratio,p99_load_to_capacity_ratio,max_load_to_capacity_ratio,p95_capacity_margin_pct,p99_capacity_margin_pct,overload_count,overload_probability,overload_probability_pct,overload_probability_ci95_lower,overload_probability_ci95_upper,rule_of_three_upper_if_zero,independent_p99_load_to_capacity_ratio,independent_p99_spare_capacity_kw,independent_p99_load_kw,independent_overload_probability_pct,delta_p99_load_to_capacity_ratio,delta_p99_spare_capacity_kw,delta_p99_load_kw,delta_overload_probability_pct
Scenario Alpha,Case A - CUM,Truncated normal,Global Gaussian copula,0.75,CW,100000,3814.61147772621,4068.06,3814.5065879837434,28.711185628691563,3861.889911393873,3876.026932640793,3888.659812927312,206.17008860612714,192.03306735920705,0.9493198014271846,0.9527949274693079,0.9559003094662596,5.068019857281533,4.720507253069204,0,0.0,0.0,0.0,0.0,3e-05,0.940309040908301,242.8264030425771,3825.233596957423,0.0,0.01248588656100691,-50.79333568337006,50.79333568337006,0.0
Scenario Alpha,Case A - CUM,Truncated normal,Global Gaussian copula,0.75,FW,100000,11172.36557800847,11734.66,11172.260688266,28.71118562869157,11219.644011676133,11233.781032923052,11246.413913209572,515.0159883238666,500.87896707694745,0.956111554290975,0.9573162778404362,0.9583928220510498,4.388844570902494,4.268372215956385,0,0.0,0.0,0.0,0.0,3e-05,0.9529877897816964,551.6723027603184,11182.98769723968,0.0,0.0043284880587397545,-50.79333568337097,50.79333568337279,0.0
Scenario Alpha,Case A - CUM,Truncated normal,Global Gaussian copula,0.75,HVAC,100000,1026.73344657341,1159.42,1026.7071038113102,7.004439957810197,1038.2910802743068,1041.7066728279715,1044.7679794781764,121.12891972569332,117.71332717202858,0.8955262806181596,0.8984722299321828,0.901112607578079,10.447371938184032,10.152777006781717,0,0.0,0.0,0.0,0.0,3e-05,0.8882108652556163,129.61055860533338,1029.8094413946667,0.0,0.010261364676566465,-11.897231433304796,11.897231433304796,0.0
Scenario Alpha,Case A - CUM,Truncated normal,Subsystem-block Gaussian copula,0.25,CW,100000,3814.61147772621,4068.06,3814.598071893297,13.705893358725046,3837.233737390687,3845.8573110606544,3865.033425363208,230.82626260931283,222.20268893934553,0.9432588844291104,0.9453787090310012,0.9500925319103475,5.674111557088953,5.462129096899887,0,0.0,0.0,0.0,0.0,3e-05,0.940309040908301,242.8264030425771,3825.233596957423,0.0,0.005069668122700155,-20.623714103231578,20.623714103231578,0.0
Scenario Alpha,Case A - CUM,Truncated normal,Subsystem-block Gaussian copula,0.25,FW,100000,11172.36557800847,11734.66,11172.352172175555,13.705893358725046,11194.987837672947,11203.611411342914,11222.787525645468,539.6721623270532,531.0485886570859,0.954010413396975,0.9547452939704187,0.9563794371243366,4.598958660302499,4.5254706029581255,0,0.0,0.0,0.0,0.0,3e-05,0.9529877897816964,551.6723027603184,11182.98769723968,0.0,0.0017575041887223364,-20.623714103232487,20.623714103234306,0.0
Scenario Alpha,Case A - CUM,Truncated normal,Subsystem-block Gaussian copula,0.25,HVAC,100000,1026.73344657341,1159.42,1026.7234440041036,4.190634100792293,1033.644482211492,1036.2481339383526,1041.6298445658388,125.77551778850807,123.1718660616475,0.891518588787059,0.8937642389628888,0.8984059655395272,10.848141121294102,10.623576103711123,0,0.0,0.0,0.0,0.0,3e-05,0.8882108652556163,129.61055860533338,1029.8094413946667,0.0,0.005553373707272491,-6.438692543685875,6.438692543685875,0.0
Scenario Alpha,Case A - CUM,Truncated normal,Subsystem-block Gaussian copula,0.5,CW,100000,3814.61147772621,4068.06,3814.6398523321695,18.820378843590532,3845.70756233819,3856.7365514928606,3878.0489300771187,222.35243766180974,211.32344850713935,0.9453418981868975,0.9480530158092213,0.9532919696555898,5.46581018131025,5.1946984190778736,0,0.0,0.0,0.0,0.0,3e-05,0.940309040908301,242.8264030425771,3825.233596957423,0.0,0.00774397490092027,-31.502954535437766,31.502954535437766,0.0
Scenario Alpha,Case A - CUM,Truncated normal,Subsystem-block Gaussian copula,0.5,FW,100000,11172.36557800847,11734.66,11172.393952614426,18.820378843590536,11203.46166262045,11214.49065177512,11235.803030359377,531.1983373795501,520.1693482248793,0.9547325327380981,0.9556723971359307,0.9574885876846349,4.5267467261901935,4.432760286406929,0,0.0,0.0,0.0,0.0,3e-05,0.9529877897816964,551.6723027603184,11182.98769723968,0.0,0.0026846073542342586,-31.50295453543913,31.50295453544095,0.0
Scenario Alpha,Case A - CUM,Truncated normal,Subsystem-block Gaussian copula,0.5,HVAC,100000,1026.73344657341,1159.42,1026.732002874252,5.773072138557462,1036.278073651217,1039.5307993712324,1044.3274737305578,123.14192634878304,119.88920062876764,0.8937900619716901,0.8965955386065726,0.9007326712757738,10.620993802830988,10.340446139342744,0,0.0,0.0,0.0,0.0,3e-05,0.8882108652556163,129.61055860533338,1029.8094413946667,0.0,0.008384673350956273,-9.721357976565741,9.721357976565741,0.0
Scenario Alpha,Case A - CUM,Truncated normal,Subsystem-block Gaussian copula,0.75,CW,100000,3814.61147772621,4068.06,3814.5579905502204,22.851246164748556,3852.2612279234045,3864.5308565455157,3884.9639846963923,215.79877207659547,203.52914345448426,0.9469529033306796,0.9499689917418906,0.9549918105181321,5.3047096669320375,5.003100825810933,0,0.0,0.0,0.0,0.0,3e-05,0.940309040908301,242.8264030425771,3825.233596957423,0.0,0.009659950833589614,-39.29725958809286,39.29725958809286,0.0
Scenario Alpha,Case A - CUM,Truncated normal,Subsystem-block Gaussian copula,0.75,FW,100000,11172.36557800847,11734.66,11172.312090832478,22.851246164748552,11210.015328205664,11222.284956827776,11242.718084978651,524.6446717943363,512.3750431722237,0.9552910206350813,0.9563366093971002,0.9580778723012555,4.470897936491865,4.3663390602899765,0,0.0,0.0,0.0,0.0,3e-05,0.9529877897816964,551.6723027603184,11182.98769723968,0.0,0.0033488196154037864,-39.297259588094676,39.297259588096495,0.0
Scenario Alpha,Case A - CUM,Truncated normal,Subsystem-block Gaussian copula,0.75,HVAC,100000,1026.73344657341,1159.42,1026.7173506342865,7.01285238791881,1038.3833783987495,1041.8028586941423,1044.7282101941164,121.03662160125054,117.61714130585779,0.8956058877703934,0.8985551902624952,0.9010783065620019,10.439411222960665,10.144480973750476,0,0.0,0.0,0.0,0.0,3e-05,0.8882108652556163,129.61055860533338,1029.8094413946667,0.0,0.010344325006878874,-11.993417299475595,11.993417299475595,0.0
Scenario Alpha,Case B - CMM + CUM,Triangular,Global Gaussian copula,0.25,CW,100000,3814.61147772621,4068.06,3814.41197137259,54.92874320748897,3904.6941231072774,3939.533566312744,4019.842602732954,163.36587689272255,128.52643368725603,0.9598418221725533,0.9684059640990408,0.9881473239659578,4.015817782744664,3.159403590095919,0,0.0,0.0,0.0,0.0,3e-05,0.9451982829716772,222.93667297423823,3845.1233270257617,0.0,0.0232076811273636,-94.4102392869822,94.41023928698223,0.0
Scenario Alpha,Case B - CMM + CUM,Triangular,Global Gaussian copula,0.25,FW,100000,11172.36557800847,11734.66,11172.166071654849,54.92874320748897,11262.448223389536,11297.287666595003,11377.596703015213,472.21177661046386,437.37233340499733,0.9597592280807059,0.9627281631163581,0.9695719094558525,4.024077191929411,3.7271836883641907,0,0.0,0.0,0.0,0.0,3e-05,0.9546827455851316,531.7825726919782,11202.877427308022,0.0,0.008045417531226562,-94.41023928698087,94.41023928698087,0.0
Scenario Alpha,Case B - CMM + CUM,Triangular,Global Gaussian copula,0.25,HVAC,100000,1026.73344657341,1159.42,1026.6687291161347,19.39716545902149,1058.59769427188,1070.8400557621394,1095.7270721047983,100.82230572812,88.57994423786067,0.9130407395696813,0.92359977899479,0.9450648359565974,8.695926043031859,7.640022100521008,0,0.0,0.0,0.0,0.0,3e-05,0.8954898581065659,121.17114871408536,1038.2488512859147,0.0,0.02810992088822406,-32.59120447622469,32.591204476224675,0.0
